#{"t_start": 1777057442.656435, "env_id": "None"}
r,l,t
-17.156007,194,39.750294
-27.169162,291,39.775677
-4.065459,133,39.787223
-27.126222,212,39.80541
-150.93114,469,39.845481
-14.133366,226,39.864738
-74.0059,1000,40.209543
-93.491762,1000,40.297338
-15.372458,181,40.313342
-10.66445,155,40.326938
-55.170257,338,40.357397
-92.63094,358,40.649735
-146.034579,430,40.686904
-24.649018,243,40.707757
-14.362649,327,40.736276
-3.151956,144,40.749033
-8.648296,183,40.765107
-71.431688,411,41.061392
-84.049099,331,41.090532
-105.59213,354,41.121227
-27.903184,245,41.142328
-89.06303,323,41.170862
-29.933998,230,41.191161
-20.006552,188,41.207748
-32.310137,220,41.227159
-95.564547,1000,41.57487
-16.45645,181,41.591426
-72.537857,308,41.618322
-52.43458,290,41.645283
-27.900861,243,41.666594
-39.370684,223,41.946257
-161.566188,767,42.013281
-95.41581,516,42.05814
-165.09001,613,42.111473
-73.85622,318,42.400539
-176.375459,496,42.44395
-122.172245,402,42.478496
-41.557366,232,42.498249
-16.440617,191,42.515282
-161.991636,490,42.820785
-51.045737,296,42.848141
-14.885887,176,42.86361
-61.897253,290,42.890426
-10.050421,186,42.908205
-100.420031,366,42.942584
-44.141261,277,42.967988
-28.779704,217,42.987893
-132.01538,388,43.290777
-34.612621,231,43.317581
-26.224684,272,43.348135
-58.955515,406,43.387203
-80.55772,329,43.417347
-24.413755,203,43.435512
-76.923692,312,43.462791
